"location","Intercept","BetaSTR","BetaSTRquad","F-Pval","BICfull","Interceptlin","BetaSTRlin","F-Pval-lin","BIClin"
"42632746",0.00640185989344267,0.370141448606562,NA,0.305827188400819,379.436994753454,0.00640185989344267,0.370141448606562,0.305827188400819,379.436994753454
"42633365",0.00339709882008376,0.255608663541667,0.17483506538825,0.233892694622588,383.060040791283,0.00827338187565377,0.279888489589193,0.145466145180369,378.355457515787
"42633967",0.00998883439464616,-0.0238389327463845,-0.0131486842921915,0.592245511157966,384.941098162348,0.0186730763018387,0.00929974016021341,0.695170661483038,380.341248027583
"42634318",0.00897668504357699,-0.10784623355636,-0.0207131184846498,0.216191754903341,382.90070431928,0.000496355647368545,-0.0406117952175437,0.194513653026301,378.795998778912
"42636840",0.0317063551406208,0.00132235750204263,-0.00223982792853423,0.0587936119984665,380.264287781032,0.031489996078735,0.0207305290243084,0.0175999351343986,374.803004813402
"42637948",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42639118",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42641689",0.002277988072921,-0.119151672866353,0.00478566553020634,0.285393437374358,383.462967066549,0.00287108140887702,-0.123758031108944,0.113274720407977,377.962701080164
"42642869",0.0101232892674898,0.0116792485868312,NA,0.843627978674515,380.457059890321,0.0101232892674898,0.0116792485868312,0.843627978674515,380.457059890321
"42643959",0.0174836248517084,-0.0424509125470622,-0.0213315117394137,0.421673401737841,384.253330392844,0.0218045658549157,0.0277162069937202,0.377595168860695,379.709861230692
"42646360",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42647373",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42647931",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42649463",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42650328",0.00941113996341472,NA,NA,0,374.99103729425,0.00941113996341472,NA,0,374.99103729425
"42650945",0.0144895805477747,0.0168202031616574,-0.00424929453839427,0.891730381308773,385.769688037068,0.014018837730465,0.0236144510561325,0.645320222818613,380.282342942289
